time (seconds),Sweep 0_Membrane Potential (mV),Sweep 1_Membrane Potential (mV),Sweep 2_Membrane Potential (mV),Sweep 3_Membrane Potential (mV),Sweep 4_Membrane Potential (mV),Sweep 5_Membrane Potential (mV),Sweep 6_Membrane Potential (mV),Sweep 7_Membrane Potential (mV),Sweep 8_Membrane Potential (mV)
0.0194,-63.232421875,-63.04931640625,-63.65966796875,-63.5986328125,-63.201904296875,-63.232421875,-63.018798828125,-62.957763671875,-62.80517578125
0.0196,-63.323974609375,-63.079833984375,-63.65966796875,-63.29345703125,-63.3544921875,-63.3544921875,-63.1103515625,-62.713623046875,-62.68310546875
0.0198,-63.232421875,-63.17138671875,-63.41552734375,-63.201904296875,-63.385009765625,-63.568115234375,-63.079833984375,-62.6220703125,-63.018798828125
0.02,-63.201904296875,-62.957763671875,-63.3544921875,-63.3544921875,-62.98828125,-63.53759765625,-63.079833984375,-62.80517578125,-63.29345703125
0.020200000000000003,-63.29345703125,-62.92724609375,-63.4765625,-63.5986328125,-63.3544921875,-63.5986328125,-62.98828125,-63.018798828125,-63.1103515625
0.0204,-62.835693359375,-62.652587890625,-63.3544921875,-63.4765625,-62.92724609375,-63.232421875,-63.018798828125,-63.1103515625,-62.835693359375
0.0206,-63.3544921875,-62.530517578125,-63.751220703125,-63.140869140625,-63.41552734375,-63.262939453125,-62.957763671875,-63.262939453125,-62.8662109375
0.020800000000000003,-63.1103515625,-62.835693359375,-63.720703125,-63.140869140625,-63.17138671875,-63.17138671875,-63.018798828125,-63.17138671875,-62.92724609375
0.021,-62.896728515625,-63.079833984375,-63.629150390625,-63.17138671875,-63.04931640625,-63.323974609375,-63.262939453125,-63.17138671875,-63.232421875
0.0212,-63.140869140625,-62.8662109375,-63.41552734375,-63.262939453125,-63.53759765625,-63.507080078125,-63.3544921875,-63.1103515625,-63.29345703125
0.021400000000000002,-63.5986328125,-62.835693359375,-63.65966796875,-63.568115234375,-63.3544921875,-63.41552734375,-63.507080078125,-63.04931640625,-63.17138671875
0.0216,-62.98828125,-63.018798828125,-63.812255859375,-63.4765625,-62.957763671875,-63.018798828125,-63.385009765625,-63.140869140625,-63.018798828125
0.0218,-63.385009765625,-62.896728515625,-63.65966796875,-63.629150390625,-63.140869140625,-63.446044921875,-63.3544921875,-63.04931640625,-62.92724609375
0.022000000000000002,-62.896728515625,-62.68310546875,-63.323974609375,-63.53759765625,-63.29345703125,-63.079833984375,-62.98828125,-62.744140625,-62.896728515625
0.0222,-63.29345703125,-62.896728515625,-63.446044921875,-63.507080078125,-63.262939453125,-63.568115234375,-63.323974609375,-62.56103515625,-62.8662109375
0.0224,-63.140869140625,-62.98828125,-63.934326171875,-63.53759765625,-63.201904296875,-63.3544921875,-63.323974609375,-62.6220703125,-62.92724609375
0.022600000000000002,-63.018798828125,-62.98828125,-63.78173828125,-62.98828125,-63.018798828125,-63.262939453125,-63.079833984375,-62.92724609375,-62.92724609375
0.0228,-63.323974609375,-62.652587890625,-63.5986328125,-63.690185546875,-62.92724609375,-63.5986328125,-62.98828125,-63.079833984375,-62.957763671875
0.023,-63.04931640625,-63.079833984375,-63.751220703125,-63.629150390625,-63.079833984375,-63.507080078125,-63.29345703125,-63.04931640625,-63.079833984375
0.023200000000000002,-62.957763671875,-62.68310546875,-63.8427734375,-63.568115234375,-63.262939453125,-63.201904296875,-63.17138671875,-62.8662109375,-63.1103515625
0.0234,-63.140869140625,-63.140869140625,-63.629150390625,-63.29345703125,-63.385009765625,-63.232421875,-63.1103515625,-62.835693359375,-63.262939453125
0.0236,-63.385009765625,-62.713623046875,-63.78173828125,-63.140869140625,-63.323974609375,-63.41552734375,-62.98828125,-63.018798828125,-63.385009765625
0.0238,-63.29345703125,-63.079833984375,-63.690185546875,-63.1103515625,-63.29345703125,-63.446044921875,-63.04931640625,-63.1103515625,-63.323974609375
0.024,-62.957763671875,-63.17138671875,-63.96484375,-63.1103515625,-63.446044921875,-63.41552734375,-62.80517578125,-62.80517578125,-62.957763671875
0.024200000000000003,-62.98828125,-62.80517578125,-63.65966796875,-63.53759765625,-63.446044921875,-63.201904296875,-63.262939453125,-62.43896484375,-62.957763671875
0.0244,-63.262939453125,-62.744140625,-63.568115234375,-63.65966796875,-63.720703125,-63.079833984375,-63.079833984375,-62.713623046875,-62.744140625
0.0246,-63.3544921875,-63.140869140625,-64.02587890625,-63.507080078125,-63.385009765625,-63.29345703125,-62.92724609375,-62.713623046875,-62.98828125
0.024800000000000003,-63.262939453125,-63.1103515625,-63.629150390625,-63.29345703125,-63.385009765625,-63.385009765625,-62.957763671875,-62.56103515625,-63.17138671875
0.025,-63.140869140625,-62.957763671875,-64.056396484375,-63.262939453125,-63.446044921875,-63.568115234375,-63.3544921875,-62.896728515625,-62.8662109375
0.0252,-62.92724609375,-62.835693359375,-63.690185546875,-63.262939453125,-63.079833984375,-63.53759765625,-63.446044921875,-62.713623046875,-62.744140625
0.025400000000000002,-62.835693359375,-63.04931640625,-63.629150390625,-63.446044921875,-63.17138671875,-63.507080078125,-63.201904296875,-62.6220703125,-63.04931640625
0.0256,-62.8662109375,-63.079833984375,-63.90380859375,-63.04931640625,-62.8662109375,-63.53759765625,-63.018798828125,-63.018798828125,-63.232421875
0.0258,-63.385009765625,-63.201904296875,-63.78173828125,-63.323974609375,-63.140869140625,-63.53759765625,-62.98828125,-62.835693359375,-62.92724609375
0.026000000000000002,-63.262939453125,-62.92724609375,-63.4765625,-63.53759765625,-63.262939453125,-63.4765625,-63.140869140625,-62.6220703125,-63.1103515625
0.0262,-63.323974609375,-62.835693359375,-63.78173828125,-63.507080078125,-63.385009765625,-63.4765625,-63.3544921875,-63.018798828125,-63.018798828125
0.0264,-63.201904296875,-62.713623046875,-63.96484375,-63.29345703125,-63.323974609375,-63.4765625,-63.385009765625,-63.018798828125,-63.262939453125
0.026600000000000002,-63.232421875,-62.68310546875,-63.90380859375,-63.5986328125,-62.92724609375,-63.507080078125,-63.323974609375,-62.713623046875,-62.896728515625
0.0268,-62.98828125,-62.835693359375,-63.629150390625,-63.29345703125,-63.04931640625,-63.5986328125,-63.018798828125,-62.6220703125,-63.29345703125
0.027,-62.92724609375,-62.8662109375,-63.41552734375,-63.812255859375,-63.232421875,-63.4765625,-63.17138671875,-62.744140625,-63.018798828125
0.027200000000000002,-62.92724609375,-62.92724609375,-63.507080078125,-63.262939453125,-63.41552734375,-63.232421875,-63.079833984375,-62.957763671875,-62.896728515625
0.0274,-62.92724609375,-62.92724609375,-63.720703125,-63.5986328125,-63.018798828125,-63.079833984375,-63.1103515625,-62.92724609375,-63.1103515625
0.027600000000000003,-62.957763671875,-62.98828125,-63.812255859375,-63.720703125,-63.1103515625,-63.04931640625,-63.262939453125,-63.04931640625,-63.323974609375
0.027800000000000002,-63.3544921875,-62.957763671875,-63.8427734375,-63.262939453125,-63.385009765625,-63.385009765625,-63.018798828125,-62.8662109375,-63.018798828125
0.028,-63.385009765625,-62.92724609375,-63.78173828125,-63.262939453125,-63.29345703125,-63.507080078125,-63.41552734375,-62.56103515625,-62.713623046875
0.028200000000000003,-63.29345703125,-62.98828125,-63.751220703125,-63.568115234375,-63.018798828125,-63.232421875,-63.29345703125,-62.591552734375,-62.92724609375
0.0284,-63.17138671875,-62.835693359375,-63.629150390625,-63.568115234375,-63.3544921875,-63.04931640625,-63.29345703125,-62.713623046875,-63.079833984375
0.0286,-63.140869140625,-62.713623046875,-63.65966796875,-63.323974609375,-63.140869140625,-63.262939453125,-63.262939453125,-62.6220703125,-63.262939453125
0.028800000000000003,-63.079833984375,-62.469482421875,-63.5986328125,-63.17138671875,-63.385009765625,-63.201904296875,-63.232421875,-62.530517578125,-63.29345703125
0.029,-63.018798828125,-62.68310546875,-63.5986328125,-63.385009765625,-63.079833984375,-63.262939453125,-63.17138671875,-62.5,-63.1103515625
0.0292,-63.3544921875,-62.896728515625,-63.65966796875,-63.720703125,-63.41552734375,-63.201904296875,-63.018798828125,-62.744140625,-63.1103515625
0.029400000000000003,-63.29345703125,-63.04931640625,-63.8427734375,-63.720703125,-63.04931640625,-63.323974609375,-62.92724609375,-62.713623046875,-62.98828125
0.0296,-62.92724609375,-63.140869140625,-63.751220703125,-63.53759765625,-63.04931640625,-63.568115234375,-63.140869140625,-62.6220703125,-62.957763671875
0.0298,-63.04931640625,-63.079833984375,-63.90380859375,-63.29345703125,-63.446044921875,-63.232421875,-63.41552734375,-62.68310546875,-62.896728515625
0.030000000000000002,-63.018798828125,-62.80517578125,-64.02587890625,-63.17138671875,-63.29345703125,-63.232421875,-63.323974609375,-62.92724609375,-62.92724609375
0.0302,-63.201904296875,-62.652587890625,-63.720703125,-63.232421875,-63.079833984375,-63.507080078125,-62.98828125,-63.04931640625,-62.92724609375
0.0304,-62.835693359375,-62.744140625,-63.720703125,-63.41552734375,-63.17138671875,-63.232421875,-63.079833984375,-63.17138671875,-62.835693359375
0.030600000000000002,-63.262939453125,-62.8662109375,-63.232421875,-63.5986328125,-63.4765625,-63.385009765625,-62.92724609375,-62.957763671875,-62.896728515625
0.0308,-63.232421875,-62.8662109375,-63.3544921875,-63.65966796875,-63.4765625,-63.3544921875,-63.3544921875,-62.68310546875,-62.80517578125
0.031,-62.835693359375,-62.6220703125,-63.568115234375,-63.629150390625,-63.04931640625,-63.232421875,-63.53759765625,-62.713623046875,-62.896728515625
0.031200000000000002,-63.3544921875,-62.896728515625,-63.8427734375,-63.720703125,-62.92724609375,-63.323974609375,-63.17138671875,-62.98828125,-63.323974609375
0.031400000000000004,-63.323974609375,-63.04931640625,-63.8427734375,-63.690185546875,-62.957763671875,-63.4765625,-62.98828125,-62.92724609375,-63.29345703125
0.0316,-62.92724609375,-62.713623046875,-63.90380859375,-63.568115234375,-63.232421875,-63.262939453125,-63.3544921875,-62.80517578125,-63.568115234375
0.0318,-62.713623046875,-63.079833984375,-63.90380859375,-63.507080078125,-63.3544921875,-63.446044921875,-63.17138671875,-62.92724609375,-63.3544921875
0.032,-62.98828125,-62.8662109375,-63.5986328125,-63.29345703125,-63.323974609375,-63.934326171875,-63.385009765625,-62.80517578125,-63.018798828125
0.0322,-63.232421875,-62.652587890625,-63.720703125,-63.17138671875,-63.17138671875,-63.4765625,-63.140869140625,-62.98828125,-62.896728515625
0.0324,-63.29345703125,-62.98828125,-63.96484375,-63.140869140625,-63.04931640625,-63.262939453125,-63.04931640625,-63.1103515625,-63.29345703125
0.032600000000000004,-63.079833984375,-63.018798828125,-63.8427734375,-63.262939453125,-63.018798828125,-63.232421875,-63.41552734375,-62.957763671875,-63.385009765625
0.0328,-63.17138671875,-63.079833984375,-63.568115234375,-63.4765625,-62.8662109375,-63.4765625,-63.018798828125,-62.8662109375,-63.41552734375
0.033,-62.92724609375,-62.591552734375,-63.934326171875,-63.5986328125,-62.80517578125,-63.568115234375,-62.98828125,-63.232421875,-63.201904296875
0.0332,-62.652587890625,-62.92724609375,-63.385009765625,-63.41552734375,-62.835693359375,-63.4765625,-63.3544921875,-62.80517578125,-63.04931640625
0.0334,-62.896728515625,-62.957763671875,-64.02587890625,-63.446044921875,-62.8662109375,-63.262939453125,-63.385009765625,-63.079833984375,-63.079833984375
0.033600000000000005,-62.68310546875,-63.262939453125,-63.53759765625,-63.3544921875,-62.896728515625,-63.140869140625,-63.140869140625,-62.896728515625,-63.29345703125
0.033800000000000004,-62.6220703125,-63.201904296875,-63.568115234375,-63.018798828125,-63.079833984375,-63.232421875,-63.1103515625,-62.92724609375,-63.140869140625
0.034,-62.8662109375,-63.018798828125,-63.90380859375,-63.04931640625,-62.896728515625,-63.232421875,-63.3544921875,-63.232421875,-62.98828125
